会社名,組織体系区分,組織体系パターン,,組織体系改定日付,階層,,上位部門,,上位部門階層番号,部門コード,部門適用日付,部門終了日付　,部門名,部門名（略）,部門名（カナ）,部門名（英字）,代表計上部門,,計上区分,部門採番コード,部門所在地,,ＴＥＬ,ＦＡＸ,ＴＥＬ（国際表記）,ＦＡＸ（国際表記）,編集状態,移管先部門,,郵便番号,住所１,住所２,ＺＩＰコード,住所１（英字）,住所２（英字）,部門表示順序,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,200110,【不】東京営業推進課,4 ,20011025,2014/10/1,9999/12/31,【使用不可】東京介護支援推進課,【不】東京介護支援推,ﾄｳｷｮｳｶｲｺﾞｼｴﾝｽｲｼﾝｶ,,,,間接部門,,,,03-5433-5517,03-5433-5561,,,既存,,,,,,,,,001012002001003000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2001,【不】東京営業推進部,3 ,203527,2014/10/1,9999/12/31,【使用不可】新店開発課,【不】新店開発課,ｼﾝﾃﾝｶｲﾊﾂｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012002002000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,203527,【不】新店開発課,4 ,20352730,2014/10/1,9999/12/31,【使用不可】新店開発,【不】新店開発,ｼﾝﾃﾝｶｲﾊﾂｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002002001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2001,【不】東京営業推進部,3 ,209020,2014/10/1,9999/12/31,【使用不可】東京通所推進課,【不】東京通所推進課,ﾄｳｷｮｳﾂｳｼｮｽｲｼﾝｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012002003000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209020,【不】東京通所推進課,4 ,20011060,2014/10/1,9999/12/31,【使用不可】東京通所推進課,【不】東京通所推進課,ﾄｳｷｮｳﾂｳｼｮｽｲｼﾝｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002003001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209020,【不】東京通所推進課,4 ,20051060,2014/10/1,9999/12/31,【使用不可】通所開発課,【不】通所開発課,ﾂｳｼｮｶｲﾊﾂｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002003002000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209020,【不】東京通所推進課,4 ,20197060,2014/10/1,9999/12/31,【使用不可】ﾃﾞｲ準備1,【不】ﾃﾞｲ準備1,ﾃﾞｲｼﾞｭﾝﾋﾞｲﾁ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002003003000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209020,【不】東京通所推進課,4 ,20227060,2014/10/1,9999/12/31,【使用不可】ﾃﾞｲ新小岩準備室,【不】ﾃﾞｲ新小岩準,ﾃﾞｲｼﾝｺｲﾜｼﾞｭﾝﾋﾞｼﾂ,,,,直接部門,,,,,,,,既存,,,,,,,,,001012002003004000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209020,【不】東京通所推進課,4 ,20287060,2014/10/1,9999/12/31,【使用不可】ﾃﾞｲ準備2,【不】ﾃﾞｲ準備2,ﾃﾞｲｼﾞｭﾝﾋﾞﾆ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002003005000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2001,【不】東京営業推進部,3 ,209021,2014/10/1,9999/12/31,【使用不可】東京住環境推進課,【不】東京住環境推進,ﾄｳｷｮｳｼﾞｭｳｶﾝｷｮｳｽｲｼﾝｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012002004000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209021,【不】東京住環境推進,4 ,20902160,2014/10/1,9999/12/31,【使用不可】東京住環境推進課,【不】東京住環境推進,ﾄｳｷｮｳｼﾞｭｳｶﾝｷｮｳｽｲｼﾝｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012002004001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2001,【不】東京営業推進部,3 ,209025,2014/10/1,9999/12/31,【使用不可】東京入浴推進課,【不】東京入浴推進課,ﾄｳｷｮｳﾆｭｳﾖｸｽｲｼﾝｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012002005000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209025,【不】東京入浴推進課,4 ,20902560,2014/10/1,9999/12/31,【使用不可】東京入浴推進課,【不】東京入浴推進課,ﾄｳｷｮｳﾆｭｳﾖｸｽｲｼﾝｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012002005001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2001,【不】東京営業推進部,3 ,209027,2014/10/1,9999/12/31,【使用不可】東京看護推進課,【不】東京看護推進課,ﾄｳｷｮｳｶﾝｺﾞｽｲｼﾝｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002006000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,209027,【不】東京看護推進課,4 ,20902760,2014/10/1,9999/12/31,【使用不可】東京看護推進課,【不】東京看護推進課,ﾄｳｷｮｳｶﾝｺﾞｽｲｼﾝｶ,,,,間接部門,,,,,,,,既存,,,,,,,,,001012002006001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,05,【不】東京南支部,2 ,2051,2014/10/1,9999/12/31,【使用不可】東京南支部訪問介護事業部,【不】東京南訪問介護,ﾄｳｷｮｳﾐﾅﾐｼﾌﾞﾎｳﾓﾝｶｲｺﾞｼﾞｷﾞｮｳﾌﾞ,,,,その他,,,,,,,,既存,,,,,,,,,001012003000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2051,【不】東京南訪問介護,3 ,201005,2014/10/1,9999/12/31,【使用不可】城南世田谷統括課,【不】城南世田谷統括,ｼﾞｮｳﾅﾝｾﾀｶﾞﾔﾄｳｶﾂｶ,,,,その他,,,,,,,,既存,,,,,,,,,001012003001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,201005,【不】城南世田谷統括,4 ,20100503,2014/10/1,9999/12/31,【使用不可】城南世田谷統括（訪,【不】城南世田谷統括,ｼﾞｮｳﾅﾝｾﾀｶﾞﾔﾄｳｶﾂ(ﾎｳﾓﾝｶｲｺﾞ),,,,間接部門,,,,,,,,既存,,,,,,,,,001012003001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2051,【不】東京南訪問介護,3 ,201010,2014/10/1,9999/12/31,【使用不可】池尻大橋事業所,【不】池尻大橋事業所,ｲｹｼﾞﾘｵｵﾊｼｼﾞｷﾞｮｳｼｮ,,,,その他,,,,03-5465-1823,03-5465-1822,,,既存,,,,,,,,,001012003002000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,201010,【不】池尻大橋事業所,4 ,20101030,2014/10/1,9999/12/31,【使用不可】池尻大橋訪問介護課,【不】池尻大橋訪問介,ｲｹｼﾞﾘｵｵﾊｼﾎｳﾓﾝｶｲｺﾞｶ,,,,直接部門,,,,,,,,既存,,,,,,,,,001012003002001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2051,【不】東京南訪問介護,3 ,201025,2014/10/1,9999/12/31,【使用不可】幡ヶ谷事業所,【不】幡ヶ谷事業所,ﾊﾀｶﾞﾔｼﾞｷﾞｮｳｼｮ,,,,その他,,,,03-5308-5011,03-5308-5020,,,既存,,,,,,,,,001012003004000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,201025,【不】幡ヶ谷事業所,4 ,20102530,2014/10/1,9999/12/31,【使用不可】幡ヶ谷訪問介護課,【不】幡ヶ谷訪問介護,ﾊﾀｶﾞﾔﾎｳﾓﾝｶｲｺﾞｶ,,,,直接部門,,,,03-5308-5011,03-5308-5020,,,既存,,,,,,,,,001012003004001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,3 ,本　部,05,【不】東京南支部,2 ,2087,2014/10/1,9999/12/31,【使用不可】東京南支部居宅支援事業部,【不】東京南居宅支援,ﾄｳｷｮｳﾐﾅﾐｷｮﾀｸｼｴﾝｼﾞｷﾞｮｳﾌﾞ,,,,その他,,,,,,,,既存,,,,,,,,,001012008000000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,4 ,部,2087,【不】東京南居宅支援,3 ,208710,2014/10/1,9999/12/31,【使用不可】東京南居宅統括課,【不】東京南居宅統括,ﾄｳｷｮｳｷｮﾀｸﾄｳｶﾂｶ,,,,その他,,,,03-5433-5517,03-5433-5561,,,既存,,,,,,,,,001012008001000000000000000000,部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,208710,【不】東京南居宅統括,4 ,20100510,2014/10/1,9999/12/31,【使用不可】東京南居宅統括課,【不】東京南居宅統括,ﾄｳｷｮｳｷｮﾀｸﾄｳｶﾂｶ,,,,間接部門,,,,03-5433-5517,03-5433-5561,,,既存,,,,,,,,,001012008001001000000000000000,計上部門
株式会社やさしい手,会計系販売系サブシステム,00002,会計系販売系組織体系,2025/11/1,5 ,課,208710,【不】東京南居宅統括,4 ,20100520,2014/10/1,9999/12/31,【使用不可】本部居宅介護支援部門,【不】本部支援,ﾎﾝﾌﾞｶｲｺﾞｼｴﾝｶ,,,,間接部門,,,,03-5433-5517,03-5433-5561,,,既存,,,,,,,,,001012008001002000000000000000,計上部門
