編集区分,新規変更区分名称,取引先区分コード,取引先区分名,取引先コード,社内取引部門表示コード,社内取引部門名（略）,適格請求書発行事業者登録番号,企業コード,企業名（略）,得意先フラグ,需要家フラグ,出荷先フラグ,仕入先フラグ,入荷元フラグ,請求先フラグ,支払先フラグ,諸口取引先フラグ,取引先名１,取引先名２,取引先名（略）,取引先名（カナ）,取引先名（英字）,休日パターンコード,休日パターン名,国コード,国名称,取引先地域分類値コード,取引先地域分類値,郵便番号,住所１,住所２,住所３,ＴＥＬ,ＦＡＸ,取引開始日付,取引終了日付,備考,分類値コード１,分類値１,分類値コード２,分類値２,分類値コード３,分類値３,分類値コード４,分類値４,分類値コード５,分類値５,分類値コード６,分類値６,分類値コード７,分類値７,分類値コード８,分類値８,分類値コード９,分類値９,分類値コード１０,分類値１０,使用不可フラグ,取引先所在地区分,取引先所在地区分名,国内取引フラグ,外為取引フラグ,通貨コード,消費税端数計算区分,消費税計算単位区分,取引金額端数処理区分,承認申請状況区分名,承認申請番号,承認申請日付,承認申請者名,承認申請部門名（略）,登録者名,登録日時,更新者名,更新日時,得意先担当者コード,得意先担当者名,得意先担当部門表示コード,得意先担当部門名（略）,得意先先方担当者名,得意先先方担当者ＭＡＩＬ,得意先先方担当者ＴＥＬ,得意先分類値コード１,得意先分類値１,得意先分類値コード２,得意先分類値２,得意先分類値コード３,得意先分類値３,得意先分類値コード４,得意先分類値４,得意先分類値コード５,得意先分類値５,得意先備考,得意先ランク分類値コード,得意先ランク分類値,得意先インコタームズ１,得意先インコタームズ２,売上消費税区分,売上消費税計算区分,得意先貿易輸送手段区分,得意先貿易輸送手段区分名,検収リードタイム,請求案内伝票値引表示フラグ,納品書金額表示フラグ,輸送手段コード１,輸送手段名１,輸送手段コード２,輸送手段名２,倉庫コード１,倉庫名（略）１,倉庫１配送リードタイム（輸送１）,倉庫１配送リードタイム（輸送２）,倉庫コード２,倉庫名（略）２,倉庫２配送リードタイム（輸送１）,倉庫２配送リードタイム（輸送２）,倉庫コード３,倉庫名（略）３,倉庫３配送リードタイム（輸送１）,倉庫３配送リードタイム（輸送２）,倉庫コード４,倉庫名（略）４,倉庫４配送リードタイム（輸送１）,倉庫４配送リードタイム（輸送２）,倉庫コード５,倉庫名（略）５,倉庫５配送リードタイム（輸送１）,倉庫５配送リードタイム（輸送２）,仕入先担当者コード,仕入先担当者名,仕入先担当部門表示コード,仕入先担当部門名（略）,仕入先先方担当者名,仕入先先方担当者ＭＡＩＬ,仕入先先方担当者ＴＥＬ,仕入先分類値コード１,仕入先分類値１,仕入先分類値コード２,仕入先分類値２,仕入先分類値コード３,仕入先分類値３,仕入先分類値コード４,仕入先分類値４,仕入先分類値コード５,仕入先分類値５,仕入先備考,仕入先ランク分類値コード,仕入先ランク分類値,仕入先インコタームズ１,仕入先インコタームズ２,仕入消費税区分,仕入消費税計算区分,仕入先貿易輸送手段区分,仕入先貿易輸送手段区分名,下請事業者フラグ,支払通知書出力内容,預り源泉対象初期値フラグ,預り源泉税端数計算区分,支払消費税差額計算フラグ,取込支払消費税差額計算フラグ,共通支払先フラグ,支払書内容確認コメント,支払決済条件行番号,支払決済条件コード,支払決済条件名,支払決済条件名（略）,取引形態区分,支払締区分,支払締名寄フラグ,名寄部門表示コード,名寄部門名（略）,名寄部門基準日付,支払通知書書式区分,支払通知書品目内訳表示フラグ,支払基準金額,支払決済条件使用不可フラグ,分割条件（未満）,分割率（未満）,端数桁数（未満）,端数区分（未満）,分割基準金額（未満）,支払方法コード（未満１）,支払方法名（未満１）,休日考慮区分（未満１）,出金口座コード（未満１）,出金口座名（未満１）,支払方法コード（未満２）,支払方法名（未満２）,休日考慮区分（未満２）,出金口座コード（未満２）,出金口座名（未満２）,分割条件（以上）,分割率（以上）,端数桁数（以上）,端数区分（以上）,分割基準金額（以上）,支払方法コード（以上１）,支払方法名（以上１）,休日考慮区分（以上１）,出金口座コード（以上１）,出金口座名（以上１）,支払方法コード（以上２）,支払方法名（以上２）,休日考慮区分（以上２）,出金口座コード（以上２）,出金口座名（以上２）,振込先金融機関コード,振込先金融機関名,振込先金融機関店舗コード,振込先金融機関店舗名,振込先銀行口座種別区分,振込先銀行口座番号,振込先銀行口座名義人名,振込先銀行口座名義人名（カナ）,先方負担振込手数料フラグ,振込先郵便口座番号,振込先郵便口座名義人名,振込先郵便口座名義人名（カナ）,手形支払サイト,支払手形期日指定月数,支払手形期日指定日,支払手形休日区分,手形種類コード,手形種類名,期日振込サイト,期日指定月数,期日指定日,休日区分,外国送金種類区分,外国送金受取方法区分,外国送金先方負担手数料フラグ,外国送金目的（英字）,外国送金メッセージ（英字）,外国送金受取人名（英字）,外国送金受取人住所（英字）,外国送金受取人口座番号,外国送金支払先銀行名（英字）,外国送金支払先銀行支店名（英字）,外国送金支払先銀行住所（英字）,コルレス先経由銀行名（英字）,コルレス先経由銀行支店名（英字）,コルレス先経由銀行住所（英字）,非コルレス先経由銀行名（英字）,非コルレス先経由銀行支店名（英字）,非コルレス先経由銀行住所（英字）,支払締日,期日サイクル区分（未満１）,期日指定月数（未満１）,期日指定支払日（未満１）,期日指定日数（未満１）,期日サイクル区分（未満２）,期日指定月数（未満２）,期日指定支払日（未満２）,期日指定日数（未満２）,期日サイクル区分（以上１）,期日指定月数（以上１）,期日指定支払日（以上１）,期日指定日数（以上１）,期日サイクル区分（以上２）,期日指定月数（以上２）,期日指定支払日（以上２）,期日指定日数（以上２）
,,00,初期導入,10000011,,,,,,0,0,0,0,0,0,0,0,FC西宮,,FC西宮,ﾆｼﾉﾐﾔ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00,初期導入,10000012,,,,,,0,0,0,0,0,0,1,0,FC西湘,,FC西湘,ｴﾌｼｰﾆｼｼｮｳ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,0,,1,2,3,－,,,　,,システム　管理者,20140129154616960,システム　管理者,20140328200123850,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,1,,1,001,当月末締翌月末払,当月末締翌月末払,1,2,0,,,,2,0,0,0,1,,,,,1,振込,1,10000003,三井住友/ﾒｲﾝ,,,,,,,,,,,,,,,,,,,,,1286,平塚信金,021,本店営業部,1,1162007,株式会社やさしい手西湘,ｶ)ﾔｻｼｲﾃｾｲｼﾖｳ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,99,,,,,,,,,,,,,
,,00,初期導入,10000013,,,,,,0,0,0,0,0,0,0,0,FC京葉,,FC京葉,ｴﾌｼｰｹｲﾖｳ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00,初期導入,10000014,,,,,,0,0,0,0,0,0,0,0,三英電業株式会社,,三英電業株,ｻﾝｴｲﾃﾞﾝｷﾞｮｳ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00,初期導入,10000015,,,,,,0,0,0,0,0,0,0,0,実習生受入講習料,,実習生受入講習,ｼﾞｯｼｭｳｾｲｳｹｲﾚｺｳｼｭｳﾘｮｳ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00,初期導入,10000016,,,,,,0,0,0,0,0,0,1,0,三菱UFJﾘｰｽ㈱,,三菱UFJﾘｰｽ,ﾐﾂﾋﾞｼﾕｰｴﾌｼﾞｪｲﾘｰｽ,,,,,,,,,,,,,,19000101,99991231,振込先口座はﾌｧｸﾀﾘﾝｸﾞ返金用で登録(05/01/06 後藤),,,,,,,,,,,,,,,,,,,,,0,0,国内,1,0,,1,2,3,－,,,　,,システム　管理者,20140129154616960,宇野　修平,20250114112530867,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,1,,1,001,当月末締翌月末払,当月末締翌月末払,1,2,0,,,,2,0,0,0,1,,,,,1,振込,1,10000001,みずほ/ﾒｲﾝ,,,,,,,,,,,,,,,,,,,,,0005,三菱ＵＦＪ,001,本店,1,6184342,ﾀﾞｲﾔﾓﾝﾄﾞﾘｰｽ㈱,ﾀﾞｲﾔﾓﾝﾄﾞﾘ-ｽ(ｶ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,99,,,,,,,,,,,,,
,,00,初期導入,10000017,,,,,,0,0,0,0,0,0,0,0,利用者,,利用者,ﾘﾖｳｼｬ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00,初期導入,10000018,,,,,,0,0,0,0,0,0,0,0,国保連,,国保連,ｺｸﾎﾚﾝ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00,初期導入,10000019,,,,,,0,0,0,0,0,0,0,0,市区町村,,市区町村,ｼｸﾁｮｳｿﾝ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00,初期導入,10000020,,,,,,0,0,0,0,0,0,0,0,紹介介護,,紹介介護,ｼｮｳｶｲｶｲｺﾞ,,,,,,,,,,,,,,19000101,99991231,,,,,,,,,,,,,,,,,,,,,,0,0,国内,1,1,JPY,1,2,3,－,,,　,,システム　管理者,20140129142945981,システム　管理者,20140328195936347,,　,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
